"TP","FP","TN","FN","precision","recall","F1"
0,20,0,2,0,0,0
0,32,0,2,0,0,0
0,17,0,2,0,0,0
0,60,0,2,0,0,0
0,19,0,2,0,0,0
0,84,0,2,0,0,0
1,19,0,1,0.05,0.5,0.0909090909090909
0,15,0,2,0,0,0
0,11,0,2,0,0,0
0,33,0,2,0,0,0
0,68,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,41,0,2,0,0,0
1,3,0,1,0.25,0.5,0.333333333333333
1,20,0,1,0.0476190476190476,0.5,0.0869565217391304
2,0,0,0,1,1,1
0,26,0,2,0,0,0
0,34,0,2,0,0,0
0,20,0,2,0,0,0
0,25,0,2,0,0,0
1,25,0,1,0.0384615384615385,0.5,0.0714285714285714
0,34,0,2,0,0,0
1,32,0,1,0.0303030303030303,0.5,0.0571428571428571
0,3,0,2,0,0,0
0,68,0,2,0,0,0
0,13,0,2,0,0,0
0,46,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,17,0,2,0,0,0
0,49,0,2,0,0,0
1,20,0,1,0.0476190476190476,0.5,0.0869565217391304
0,33,0,2,0,0,0
0,3,0,2,0,0,0
0,15,0,2,0,0,0
1,2,0,1,0.333333333333333,0.5,0.4
0,31,0,2,0,0,0
1,39,0,1,0.025,0.5,0.0476190476190476
0,12,0,2,0,0,0
1,42,0,1,0.0232558139534884,0.5,0.0444444444444444
0,36,0,2,0,0,0
1,29,0,1,0.0333333333333333,0.5,0.0625
1,7,0,1,0.125,0.5,0.2
0,22,0,2,0,0,0
0,34,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
1,34,0,1,0.0285714285714286,0.5,0.054054054054054
0,20,0,2,0,0,0
1,18,0,1,0.0526315789473684,0.5,0.0952380952380952
0,23,0,2,0,0,0
1,51,0,1,0.0192307692307692,0.5,0.037037037037037
0,20,0,2,0,0,0
0,36,0,2,0,0,0
1,14,0,1,0.0666666666666667,0.5,0.117647058823529
0,12,0,2,0,0,0
0,5,0,2,0,0,0
1,16,0,1,0.0588235294117647,0.5,0.105263157894737
0,54,0,2,0,0,0
0,7,0,2,0,0,0
1,5,0,1,0.166666666666667,0.5,0.25
0,3,0,2,0,0,0
0,18,0,2,0,0,0
0,30,0,2,0,0,0
0,28,0,2,0,0,0
1,15,0,1,0.0625,0.5,0.111111111111111
0,23,0,2,0,0,0
1,44,0,1,0.0222222222222222,0.5,0.0425531914893617
0,21,0,2,0,0,0
0,32,0,2,0,0,0
1,58,0,1,0.0169491525423729,0.5,0.0327868852459016
0,3,0,2,0,0,0
0,61,0,2,0,0,0
0,18,0,2,0,0,0
0,24,0,2,0,0,0
0,42,0,2,0,0,0
0,57,0,2,0,0,0
0,12,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
2,0,0,0,1,1,1
0,23,0,2,0,0,0
1,12,0,1,0.0769230769230769,0.5,0.133333333333333
0,8,0,2,0,0,0
0,37,0,2,0,0,0
0,39,0,2,0,0,0
1,1,0,1,0.5,0.5,0.5
0,14,0,2,0,0,0
0,41,0,2,0,0,0
1,19,0,1,0.05,0.5,0.0909090909090909
1,13,0,1,0.0714285714285714,0.5,0.125
1,2,0,1,0.333333333333333,0.5,0.4
0,7,0,2,0,0,0
0,13,0,2,0,0,0
0,14,0,2,0,0,0
1,33,0,1,0.0294117647058824,0.5,0.0555555555555556
1,34,0,1,0.0285714285714286,0.5,0.054054054054054
1,24,0,1,0.04,0.5,0.0740740740740741
1,3,0,1,0.25,0.5,0.333333333333333
1,19,0,1,0.05,0.5,0.0909090909090909
0,4,0,2,0,0,0
0,71,0,2,0,0,0
2,0,0,0,1,1,1
