"TP","FP","TN","FN","precision","recall","F1"
0,20,0,2,0,0,0
0,32,0,2,0,0,0
0,17,0,2,0,0,0
0,60,0,2,0,0,0
0,19,0,2,0,0,0
0,84,0,2,0,0,0
1,19,0,1,0.05,0.5,0
0,15,0,2,0,0,0
0,11,0,2,0,0,0
0,33,0,2,0,0,0
0,68,0,2,0,0,0
1,1,0,1,0.5,0.5,0
0,41,0,2,0,0,0
1,3,0,1,0.25,0.5,0
1,20,0,1,0.0476190476190476,0.5,0
2,0,0,0,1,1,0
0,26,0,2,0,0,0
0,34,0,2,0,0,0
0,20,0,2,0,0,0
0,25,0,2,0,0,0
1,25,0,1,0.0384615384615385,0.5,0
0,34,0,2,0,0,0
1,32,0,1,0.0303030303030303,0.5,0
0,3,0,2,0,0,0
0,68,0,2,0,0,0
0,13,0,2,0,0,0
0,46,0,2,0,0,0
1,1,0,1,0.5,0.5,0
0,17,0,2,0,0,0
0,49,0,2,0,0,0
1,20,0,1,0.0476190476190476,0.5,0
0,33,0,2,0,0,0
0,3,0,2,0,0,0
0,15,0,2,0,0,0
1,2,0,1,0.333333333333333,0.5,0
0,31,0,2,0,0,0
1,39,0,1,0.025,0.5,0
0,12,0,2,0,0,0
1,42,0,1,0.0232558139534884,0.5,0
0,36,0,2,0,0,0
1,29,0,1,0.0333333333333333,0.5,0
1,7,0,1,0.125,0.5,0
0,22,0,2,0,0,0
0,34,0,2,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
